,Images,Text
2552,000000232011.jpg#1,A group of people standing out of a building in the rain.
2553,000000232011.jpg#2,"A street corner with several people walking around in the rain,"
2554,000000232011.jpg#3,A bunch of people on a wet street in the rain.
2555,000000232011.jpg#4,A street corner with a person crossing the street holding an umbrella. 
2556,000000036950.jpg#0,A long silver commuter bus driving down a curvy road.
2557,000000036950.jpg#1,The vehicles on the road are proceeding to their destination.
2558,000000036950.jpg#2,"A large bus with an attachment driving down the road
"
2559,000000036950.jpg#3,Large white bus driving down the open road.
2560,000000036950.jpg#4,some cars and a large silver bus on a cloudy day
2561,000000465369.jpg#0,A car is sitting on the side of the road out side
2562,000000465369.jpg#1,A blue car parked in front of a building near a taller building.
2563,000000465369.jpg#2,A city street that has two parked cars on the side of the street and a person skateboarding on the sidewalk.
2564,000000465369.jpg#3,A corner of a city street with people jumping and riding skateboards.
2565,000000465369.jpg#4,A blue car and a tan car parked parallel alongside a building.
2566,000000038417.jpg#0,A city street scene taken from the height of the traffic light.
2567,000000038417.jpg#1,Traffic lights overlooking a city street in the daytime.
2568,000000038417.jpg#2,A person is crossing a bare street 
2569,000000038417.jpg#3,A man riding roller skates down a street next to buildings.
2570,000000038417.jpg#4,"Two traffic lights are suspended above a road with parked cars, surrounded by buildings, with a person crossing it"
2571,000000263603.jpg#0,A woman stuffing her face with a hot dog.
2572,000000263603.jpg#1,Woman eating a hot dog while walking down a street.
2573,000000263603.jpg#2,a woman eating a hot dog as she walks down the road
2574,000000263603.jpg#3,Woman standing on a city street eating a hot dog. 
2575,000000263603.jpg#4,A woman walking down the street eating a hot dog.
2576,000000151112.jpg#0,A double decker bus driving down the street
2577,000000151112.jpg#1,an image of a tour bus driving down the street
2578,000000151112.jpg#2,Green and blue double decker bus on a city street
2579,000000151112.jpg#3,A double decker bus travels down an uncrowded road.
2580,000000151112.jpg#4,A double decker pause stops to pick up a passenger.
2581,000000071345.jpg#0,two trains go side by side down a street
2582,000000071345.jpg#1,Cars are traveling next to the parked trains
2583,000000071345.jpg#2,A highway filled with lots of traffic and two trains.
2584,000000071345.jpg#3,Cars drive by a busy train depot during the day.
2585,000000071345.jpg#4,two trains on tracks near a road with cars
2586,000000475580.jpg#0,A red city bus parked on the street 
2587,000000475580.jpg#1,a red double decker bus parked on a street
2588,000000475580.jpg#2,A double decker bus parked next to a curb. 
2589,000000475580.jpg#3,An older gentleman carrying groceries walking towards a bus
2590,000000475580.jpg#4,Red double-decker bus parked on a city street.
2591,000000047407.jpg#0,a toyota van parked on the side of the road
2592,000000047407.jpg#1,It is an image of an outside space.
2593,000000047407.jpg#2,An SUV parked next to a parking meter on a sidewalk.
2594,000000047407.jpg#3,The view of vehicles parked along the road near the sidewalk.
2595,000000047407.jpg#4,A SUV that is parked next to a coin meter.
2596,000000568647.jpg#0,Vehicle parked on the side of the street with a large object in it's trunk.
2597,000000568647.jpg#1,A small refrigerator lies in the trunk of a car at a stop sign.
2598,000000568647.jpg#2,a giant rectangular object sitting in the trunk of an unoccupied car
2599,000000568647.jpg#3,A stove is tied into the trunk of a car.
2600,000000568647.jpg#4,There is a very large item in the back of that car.
2601,000000576461.jpg#0,a car is driving down a busy street
2602,000000576461.jpg#1,Picture from inside the front seat of a car driving down a highway.
2603,000000576461.jpg#2,A view from inside a car looking down a highway.
2604,000000576461.jpg#3,a green white yellow and black sign and some cars
2605,000000576461.jpg#4,A view of traffic ahead from inside a car.
2606,000000376793.jpg#0,A person lying on the ground next to a skateboard.
2607,000000376793.jpg#1,a person is laying down near a set of steps
2608,000000376793.jpg#2,A person is lying on the ground in a city.
2609,000000376793.jpg#3,A person lies on the ground near a skateboard.
2610,000000376793.jpg#4,A person laying on the ground near a two buildings.
2611,000000170366.jpg#0,The two young men are in the parking lot posing for a photo.
2612,000000170366.jpg#1,"A tall man in a suit beside a shorter man in shorts, t-shirt, and sandals"
2613,000000170366.jpg#2,a couple of guys are standing in a parking lot
2614,000000170366.jpg#3,A couple of men standing next to each other on a parking lot.
2615,000000170366.jpg#4,"There are a lot of individuals celebrating together.
"
2616,000000323737.jpg#0,A purple bus driving down a street with tall building.
2617,000000323737.jpg#1,A purple bus drives onto a city street.
2618,000000323737.jpg#2,The purple city bus is noticeable against the brick buildings.
2619,000000323737.jpg#3,This is an image of a bus in the city.
2620,000000323737.jpg#4,A bus makes its way through the city street.  
2621,000000448871.jpg#0,A blue train traveling over a red rail bridge over cars.
2622,000000448871.jpg#1,a monorail making it's way down the track above a bunch of cars
2623,000000448871.jpg#2,a subway train on elevated tracks with a sky background
2624,000000448871.jpg#3,A bullet train on an elevated track passing over parked cars.
2625,000000448871.jpg#4,A passenger train moving along elevated tracks with cars below.
2626,000000019413.jpg#0,A large long bus on a city street.
2627,000000019413.jpg#1,A public bus is driving through an intersection.
2628,000000019413.jpg#2,The bus is stopped at a bus stop.
2629,000000019413.jpg#3,A modern bus parked at a station on the side of the road
2630,000000019413.jpg#4,A streetcar has wheels instead of riding on tracks.
2631,000000200788.jpg#0,a bunch fo cars drive down a wide road
2632,000000200788.jpg#1,A bunch of cars that are sitting in the street.
2633,000000200788.jpg#2,Several stopped cars waiting in front of a traffic light.
2634,000000200788.jpg#3,a bunch of traffic sit next to each other 
2635,000000200788.jpg#4,A group of cars standing at a traffic light.
2636,000000370503.jpg#0,A skateboarder gaining speed going through the street. 
2637,000000370503.jpg#1,A person riding a skateboard down a street.
2638,000000370503.jpg#2,A ground view of a person skateboarding on the street.
2639,000000370503.jpg#3,This is an interesting view of someone riding a skateboard.
2640,000000370503.jpg#4,a ground view of a person standing on a skateboard
2641,000000503674.jpg#0,A group of people who are standing in the street.
2642,000000503674.jpg#1,Workers doing some repairs on the side of a street.
2643,000000503674.jpg#2,Road crew of a large city street with sun appearing above
2644,000000503674.jpg#3,Men working and carrying a wheel barrow on the street.
2645,000000503674.jpg#4,a number of cars on a city street near a tree
2646,000000240775.jpg#0,A yellow double decker bus driving down a street
2647,000000240775.jpg#1,Some cars and a double decker bus drive down the street.
2648,000000240775.jpg#2,A large yellow two level bus on a narrow street.
2649,000000240775.jpg#3,Yellow bus in traffic lane on paved roadway.
2650,000000240775.jpg#4,A large double decker yellow bus is shown driving.
2651,000000333746.jpg#0,Red stoplights that are next to a train.
2652,000000333746.jpg#1,A train crosses over a street by a stop light.
2653,000000333746.jpg#2,A commuter train that is crossing over a street.
2654,000000333746.jpg#3,A yellow and metal train traveling down train tracks.
2655,000000333746.jpg#4,Railroad stop gates down for a passing passenger train.
2656,000000087429.jpg#0,Traffic is stopped on the road because of a red light.
2657,000000087429.jpg#1,Cars wait at a red light as traffic passes by on the street.
2658,000000087429.jpg#2,A busy city street filled with lots of traffic.
2659,000000087429.jpg#3,Cars are stopped at the traffic signal of an intersection.
2660,000000087429.jpg#4,Two cars are stopped at a red light and transit buses are in the background.
2661,000000145518.jpg#0,a road that has a car parked on it
2662,000000145518.jpg#1,A car driving around a curve on a road.
2663,000000145518.jpg#2,the car is driving on the road  by itself
2664,000000145518.jpg#3,a street sign with a car driving on the street
2665,000000145518.jpg#4,A roadway with a blue sign written in arabic.
2666,000000085956.jpg#0,A yellow double decker bus driving under a bridge.
2667,000000085956.jpg#1,A bus parked under an awning in front of a building.
2668,000000085956.jpg#2,"There is a picture of an outside area.
"
2669,000000085956.jpg#3,A yellow double stacked bus traveling under a bridge.
2670,000000085956.jpg#4,A yellow double decker bus driving under an overpass.
2671,000000099129.jpg#0,A red Double Decker bus stopped next to a bike rack.
2672,000000099129.jpg#1,"A red, double decker bus is parked in the street next to the sidewalk."
2673,000000099129.jpg#2,"A large, new double decker bus on a city street."
2674,000000099129.jpg#3,A double-decker bus in London near some parked bikes.
2675,000000099129.jpg#4,A man stands next to a double-decker bus parked in the street. 
2676,000000157153.jpg#0,a couple of school buses and a train on the street 
2677,000000157153.jpg#1,"A sculpture of a giant bear standing on its hind legs, looking into a building."
2678,000000157153.jpg#2,A train is riding by two stopped school buses. 
2679,000000157153.jpg#3,Several large buses are driving through the streets.
2680,000000157153.jpg#4,"The Colorado Convention's Center, on a main city artery, has a Big Blue Bear sculpture staring in to the lobby."
2681,000000045434.jpg#0,Cars parked at side of road in front of a building at dusk or night.
2682,000000045434.jpg#1,A large monumental building with a clock tower.
2683,000000045434.jpg#2,A very big building with a tall clock tower on it.
2684,000000045434.jpg#3,a big building with some cars parked next to it
2685,000000045434.jpg#4,a couple of cars are parked outside a church
2686,000000369299.jpg#0,"One red, one yellow and one white sport car take up parking places in a parking lot."
2687,000000369299.jpg#1,Several fancy cars on a city street at a traffic light.
2688,000000369299.jpg#2,"There is a red and a yellow sports car, and also a white one."
2689,000000369299.jpg#3,A trio of luxury sports car on a street.
2690,000000369299.jpg#4,Yellow and red luxury sports cars on a city street
2691,000000018158.jpg#0,a vintage photo of some people waiting for a bus 
2692,000000018158.jpg#1,Several people standing on a curb near a bus.
2693,000000018158.jpg#2,A black and white photo of people waiting for a bus.
2694,000000018158.jpg#3,A group of people waiting at a stop for a bus
2695,000000018158.jpg#4,a group of people that are standing in a field
2696,000000011569.jpg#0,A large pink bus is in front of another green one. 
2697,000000011569.jpg#1,two double deckered busses on a city street
2698,000000011569.jpg#2,Double-decker buses moving along on a road during the day.
2699,000000011569.jpg#3,A pink double decker bus driving down a street.
2700,000000011569.jpg#4,A pink double decker bus pulls out from a stop onto the street.
2701,000000243292.jpg#0,A train engine with many carts riding down a track.
2702,000000243292.jpg#1,Read train pulling multiple silver box cars behind it. 
2703,000000243292.jpg#2,Two trains run on parallel tracks through a city.
2704,000000243292.jpg#3,A train traveling down tracks through a rural country side.
2705,000000243292.jpg#4,a train on a track with buildings in the background 
2706,000000522464.jpg#0,A car pulls up on a rainy English day
2707,000000522464.jpg#1,woman with umbrella walking by a very old car on a rain-covered street
2708,000000522464.jpg#2,A car parked near the curb while a woman walking in the rain with her umbrella. 
2709,000000522464.jpg#3,A girl dressed in black and holding an umbrella and is walking by an old car.
2710,000000522464.jpg#4,A woman holds her umbrella while walking down the street on a rainy day. 
2711,000000581887.jpg#0,An intersection features a directional sign to local towns. 
2712,000000581887.jpg#1,Cars driving on the street near an intersection.
2713,000000581887.jpg#2,The tan car is in the left lane of traffic.
2714,000000581887.jpg#3,A green van that is driving down a street.
2715,000000581887.jpg#4,Cars move near an intersection bordered by trees. 
2716,000000226065.jpg#0,This but has a movie advertisement on the back.
2717,000000226065.jpg#1,A bus driving down a city street next to tall buildings.
2718,000000226065.jpg#2,A bus with a movie advertisement on the back is stopped at a bus stop.
2719,000000226065.jpg#3,A movie advertisement on the back of a bus.
2720,000000226065.jpg#4,A city bus parked at the curb 
2721,000000142349.jpg#0,A double decker bus driving down a street.
2722,000000142349.jpg#1,People utilize public transportation by taking a double decker bus.
2723,000000142349.jpg#2,A double decker bus driving down a street.
2724,000000142349.jpg#3,A white and red double decker bus on street next to car.
2725,000000142349.jpg#4,A double decker bus driving down a road.
2726,000000117037.jpg#0,Three people standing in a parking lot smiling to take a picture.
2727,000000117037.jpg#1,Three people posing for a picture in a parking lot.
2728,000000117037.jpg#2,Two men and a woman posing in a parking lot.
2729,000000117037.jpg#3,The three friends are standing in the parking lot and posing for a photo.
2730,000000117037.jpg#4,Three smiling young people standing in a parking lot.
2731,000000452398.jpg#0,A green train traveling down train tracks near a river.
2732,000000452398.jpg#1,A train that is sitting on a track next to some trees.
2733,000000452398.jpg#2,A train on tracks passing by a river and a house
2734,000000452398.jpg#3,A train going down the tracks near a small village. 
2735,000000452398.jpg#4,A green and red train going down the tracks 
2736,000000411674.jpg#0,A double decker bus on a road next to a cyclist and two people walking.
2737,000000411674.jpg#1,A red double decker bus on street next to buildings.
2738,000000411674.jpg#2,The double-decker bus is about to pass a biker and two pedestrians on the city street.
2739,000000411674.jpg#3,a red double decker bus some buildings and people
2740,000000411674.jpg#4,A two story bus moving down the steet.
2741,000000358781.jpg#0,A yellow double decker bus sits at a bus stop
2742,000000358781.jpg#1,a yellow double decker bus parked by a bus stop 
2743,000000358781.jpg#2,A double decker yellow bus sits at a bus stop.
2744,000000358781.jpg#3,A double decker bus prepares to stop on the street
2745,000000358781.jpg#4,a green double decked bus stopped at the bus stop
2746,000000125848.jpg#0,A double decked bus is near a red brick building.
2747,000000125848.jpg#1,A red double decker bus traveling past a tall brick building.
2748,000000125848.jpg#2,A double decker bus is next to an old house.
2749,000000125848.jpg#3,A large double deck red bus on a street.
2750,000000125848.jpg#4,a double deckered bus on a city street 
2751,000000301769.jpg#0,A traffic light sitting in the middle of a street.
2752,000000301769.jpg#1,A busy road with traffic lights in the center.
2753,000000301769.jpg#2,A busy street with traffic signs and traffic lights.
2754,000000301769.jpg#3,A green traffic sitting above a yield sign at a busy divided street.
2755,000000301769.jpg#4,a street sign attached to a traffic light pole
2756,000000370426.jpg#0,A woman waiting at the bus stop for the bus.
2757,000000370426.jpg#1,A beautiful blond lady standing next to a city bus.
2758,000000370426.jpg#2,A woman stands next to a parked city bus.
2759,000000370426.jpg#3,A woman standing on a sidewalk waiting to board a bus.
2760,000000370426.jpg#4,A  woman in black standing near a bus stop
2761,000000271464.jpg#0,A large modern touring bus in city traffic
2762,000000271464.jpg#1,a black double decker bus traveling around the curve of a street 
2763,000000271464.jpg#2,A black tour bus driving down the street.
2764,000000271464.jpg#3,a double decker bus drives on a city street 
2765,000000271464.jpg#4,A very big shiny nice looking bus on the road.
2766,000000501842.jpg#0,A group of cars and house on truck passing in a street.
2767,000000501842.jpg#1,an image of house on the back of a truck
2768,000000501842.jpg#2,A truck moving half a house on a heavily travelled road.
2769,000000501842.jpg#3,a truck with a house on the back
2770,000000501842.jpg#4,a street full of traffic like a truck and mini van 
2771,000000030408.jpg#0,A group of street signs on sidewalk next to a building.
2772,000000030408.jpg#1,Street signs that are on a pole next to the street.
2773,000000030408.jpg#2,A sign is shown next to a building and street.
2774,000000030408.jpg#3,A round street sign in Europe written in German.
2775,000000030408.jpg#4,A do not enter sign on a street in Germany
2776,000000212241.jpg#0,The subway train is passing under a walking bridge. 
2777,000000212241.jpg#1,A caboose sitting on a track in the city along the side of the street.
2778,000000212241.jpg#2,There is a train moving down the tracks.
2779,000000212241.jpg#3,A commuter train parked under an overpass in an industrial area.
2780,000000212241.jpg#4,A train is moving along a stretch of track.
2781,000000320926.jpg#0,A white bus is driving on the road.
2782,000000320926.jpg#1,The large tour bus is painted white with blue designs. 
2783,000000320926.jpg#2,A van drives down the road in speed and style 
2784,000000320926.jpg#3,A comfort bus is driving on the street.
2785,000000320926.jpg#4,A large long bus on a city street.
2786,000000213780.jpg#0,Two cars on a road below various traffic lights.
2787,000000213780.jpg#1,Two cars are going through a green street light.
2788,000000213780.jpg#2,A small compact car and a sports car traveling under a traffic light.
2789,000000213780.jpg#3,an image of cars that are going down the street
2790,000000213780.jpg#4,Two cars are driving through some traffic lights.
2791,000000276766.jpg#0,a bus that is parked in a parking lot
2792,000000276766.jpg#1,A bus that is sitting in the street.
2793,000000276766.jpg#2,a public transit bus on a road 
2794,000000276766.jpg#3,"The ""A"" train waits along the side of the road."
2795,000000276766.jpg#4,A bus picks up passengers at a bus stop
2796,000000362213.jpg#0,"A loading area next to a boat yard with a sign saying ""30"" is in front of some building in the evening."
2797,000000362213.jpg#1,people walking down a sidewalk as it starts getting dark
2798,000000362213.jpg#2,A street sign with a speed limit posted next to a street.
2799,000000362213.jpg#3,A couple walk down the sidewalk of a city street. 
2800,000000362213.jpg#4,Night view of a city street with the lights on. 
2801,000000463084.jpg#0,a bus pulling up to the bus stop in a city
2802,000000463084.jpg#1,A bus is parked near a bus stop on a street. 
2803,000000463084.jpg#2,White and blue buses parked on the side of the city road to let passengers in.
2804,000000463084.jpg#3,A buss stopped at a bus stop on a city street 
2805,000000463084.jpg#4,Two blue and white buses stopped at a bus stop.
2806,000000297828.jpg#0,A car and a bus who are both stopped in traffic
2807,000000297828.jpg#1,A bus and other vehicles are in traffic on the street.
2808,000000297828.jpg#2,A blue bus in traffic on a busy city street.
2809,000000297828.jpg#3,A blue bus that is sitting on the road.
2810,000000297828.jpg#4,A blue bus is sitting on a busy street
2811,000000060433.jpg#0,"A picture of an outdoor area that looks great.
"
2812,000000060433.jpg#1,A double deck tour bus making a left turn onto a street.
2813,000000060433.jpg#2,A passenger bus with two levels making a turn.
2814,000000060433.jpg#3,A double decker bus pulling out in front of a grassy area.
2815,000000060433.jpg#4,The city bus is traveling down the street.
2816,000000462954.jpg#0,a building a sign some cars and traffic and street lights
2817,000000462954.jpg#1,A view of a sign and building from the street.
2818,000000462954.jpg#2,Someone driving down the middle of a street.
2819,000000462954.jpg#3,A view from a person vehicle looking at other vehicles driving down the road.
2820,000000462954.jpg#4,A very tall building sitting next to a sign that reads Bourbon Street.
2821,000000282552.jpg#0,a building with some people walking in front of it 
2822,000000282552.jpg#1,A city street with an advertisement with tea on it
2823,000000282552.jpg#2,A billboard that is closer to the ground with people walking by on the street. 
2824,000000282552.jpg#3,A large eat store with a couple of people walking by it.
2825,000000282552.jpg#4,A big poster of an establishment hanging on the building. 
2826,000000420634.jpg#0,a mixing truck is driving down the road
2827,000000420634.jpg#1,"The cement mixer rolls into the heart of the city, following a line of traffic."
2828,000000420634.jpg#2,The cement truck makes its way through the middle of the city
2829,000000420634.jpg#3,Trucks and cars going down a commercial retail street in a city
2830,000000420634.jpg#4,A cement truck driving down a street past tall buildings.
2831,000000155364.jpg#0,A yellow trolley passing by street intersection at night.
2832,000000155364.jpg#1,A parked train car sitting at a train station at night.
2833,000000155364.jpg#2,A subway train is waiting at the station.
2834,000000155364.jpg#3,Street cars passing under a viaduct at night.
2835,000000155364.jpg#4,A train operating in an urban area at night
2836,000000158118.jpg#0,A guy is near a busy street in a foreign country.
2837,000000158118.jpg#1,Man standing at edge of busy road in metropolitan street.
2838,000000158118.jpg#2,The man is standing beside a busy street.
2839,000000158118.jpg#3,A young man is standing away from the traffic. 
2840,000000158118.jpg#4,cars traveling on a busy road in Asia
2841,000000430790.jpg#0,Two bikers riding down an empty road next to apartments.
2842,000000430790.jpg#1,Several motorcycles are driving down an otherwise deserted street.
2843,000000430790.jpg#2,Two motorcycles traveling down an open highway together.
2844,000000430790.jpg#3,3 motorcycles being driven down an almost empty road
2845,000000430790.jpg#4,Two motorcyclists ride down a city street. 
2846,000000557016.jpg#0,A man drives his car down a road with foot and animal traffic
2847,000000557016.jpg#1,a close up of a person driving a car on a road 
2848,000000557016.jpg#2,A photo taken from within a car of a small street in a rural town 
2849,000000557016.jpg#3,A person is in a car on the street near some cattle and a man on a bike.
2850,000000557016.jpg#4,A car driving up the road and in front of it is several cows in the road.
2851,000000176372.jpg#0,A white and blue bus driving down a tree lined street.
2852,000000176372.jpg#1,A horse drawn cart looks quaint beside a bus on a road.
2853,000000176372.jpg#2,a bus passes by a horse pulling a cart 
2854,000000176372.jpg#3,A horse and carriage is traveling opposite of a bus.
2855,000000176372.jpg#4,Horse drawn carriage on street in front of bus with trees.
2856,000000371701.jpg#0,Skateboarder seen at an angle is in between some cars.
2857,000000371701.jpg#1,The young boy balances on his skateboard in the street near a truck. 
2858,000000371701.jpg#2,A skateboard does a trick on a board on the street.
2859,000000371701.jpg#3,a man is doing tricks on a skateboard
2860,000000371701.jpg#4,Skateboarder jumping his board in the middle the city. 
2861,000000187280.jpg#0,Two red double decked buses driving down the road.
2862,000000187280.jpg#1,A red bus is parked on the side of the road.
2863,000000187280.jpg#2,"An intersection shows a building on one side and two doubledecker buses and a third vehicle, pulling up to a crosswalk, before a side road.    "
2864,000000187280.jpg#3,A red double decker bus driving down a city street.
2865,000000187280.jpg#4,there is a double decker red bus coming up the street 
2866,000000454253.jpg#0,A street scene of a crosswalk and cars in the background.
2867,000000454253.jpg#1,A pedestrian crossing sign placed next to a crosswalk.
2868,000000454253.jpg#2,"A one way street with cars parked, lined with buildings and brick sidewalks."
2869,000000454253.jpg#3,it is a rainy day and not many people are outside
2870,000000454253.jpg#4,A crosswalk warning sign on a cobblestone walk that is wet from rain.
2871,000000061729.jpg#0,A street in front of an apartment building in winter.
2872,000000061729.jpg#1,A street at night when the sky is very dark.
2873,000000061729.jpg#2,A street lined with apartment buildings with dusting of snow.
2874,000000061729.jpg#3,A street sign and some cars on a road.
2875,000000061729.jpg#4,a woman stands under an umbrella near a street sign
2876,000000231368.jpg#0,A white van is following an orange and white bus down the road. 
2877,000000231368.jpg#1,A van following behind a bus in the street. 
2878,000000231368.jpg#2,A white and orange bus driving down a city street.
2879,000000231368.jpg#3,A van follows behind a bus on a rural road.
2880,000000231368.jpg#4,A passenger bus that is driving down a street.
2881,000000472041.jpg#0,a car is parked on the side of the street
2882,000000472041.jpg#1,some cars parked on the side of the road 
2883,000000472041.jpg#2,a parking meter on a rural street and a parked car
2884,000000472041.jpg#3,a vehicle is parked against a curb with a meter
2885,000000472041.jpg#4,A car parked beside and a sidewalk and parking meter.
2886,000000377592.jpg#0,A red stop sign sitting on the side of a road.
2887,000000377592.jpg#1,A stop sign in a foreign country 
2888,000000377592.jpg#2,A stop sign with English and Chinese writing under an elevated road.
2889,000000377592.jpg#3,A red stop sign located in a parking garage. 
2890,000000377592.jpg#4,A stop sign under a bridge on a Korean roadway.
2891,000000374490.jpg#0,A view of a busy intersection with traffic through a vehicles windshield.
2892,000000374490.jpg#1,a person riding a motorcycle on a city street
2893,000000374490.jpg#2,Looking out the windscreen at the traffic at an intersection
2894,000000374490.jpg#3,A person on a bike on a city street.
2895,000000374490.jpg#4,A man riding a motorcycle across a street.
2896,000000445371.jpg#0,A brown dog tied up to a brown wooden bench next to a street.
2897,000000445371.jpg#1,The hog is tethered to the city's park bench.
2898,000000445371.jpg#2,A tan dog is tied to a bench on the sidewalk of a small town street.
2899,000000445371.jpg#3,an image of a dog on a leash near a bench
2900,000000445371.jpg#4,A dog is tied to an empty bench by its leash.
2901,000000333463.jpg#0,A parking meter with garland on it near a curb and a parked car.
2902,000000333463.jpg#1,There is festive tinsel decorating the parking meter.
2903,000000333463.jpg#2,this is a parking meter with a ribbon around it
2904,000000333463.jpg#3,A couple of cars parked in front of a parking meter.
2905,000000333463.jpg#4, a line of cars parked in the street next to a curb
2906,000000352938.jpg#0,there are many busses coming along this street
2907,000000352938.jpg#1,a line of buses that are parked in the road
2908,000000352938.jpg#2,city buses are parked and traveling down the street
2909,000000352938.jpg#3,a couple of buses are parked by a building
2910,000000352938.jpg#4,A row of parked buses sitting in a  parking lot.
2911,000000047293.jpg#0,A photo looking at a car mirror at the traffic behind.
2912,000000047293.jpg#1,A car mirror looking back at mountains and traffic
2913,000000047293.jpg#2,Looking in the rear-view mirror of a car travelling on the interstate.
2914,000000047293.jpg#3,A driver looking at traffic through the rearview mirror of a car.
2915,000000047293.jpg#4,A rear view mirror on the side of a car reflecting a mountain range.
2916,000000171915.jpg#0,Two red buses are passing on the street.
2917,000000171915.jpg#1,A bus pulls up to a stop with people at it.
2918,000000171915.jpg#2,Two buses at bus stop with people on sidewalk
2919,000000171915.jpg#3,a public transit bus on a city street
2920,000000171915.jpg#4,Passengers walking to a bus pulled up to a bus stop.
2921,000000218134.jpg#0,"A white, red and blue bus on street next to people walking."
2922,000000218134.jpg#1,A large white bus is traveling through the city streets.
2923,000000218134.jpg#2,A pink and white bus is going down the street.
2924,000000218134.jpg#3,A city bus in a downtown area heating to Baliaffray.
2925,000000218134.jpg#4,A bus driving across a parking lot with waiting passengers.
2926,000000012230.jpg#0,A car and a van parked side by side.
2927,000000012230.jpg#1,two cars parked next to each other in a parking lot.
2928,000000012230.jpg#2,some cars parked in a parking lot next to a sign
2929,000000012230.jpg#3,Two cars parked in a lot with buildings in the background.
2930,000000012230.jpg#4,The birds are resting on the roofs of the cars in the parking lot.
2931,000000281160.jpg#0,Street directional signage displayed at intersection in city.
2932,000000281160.jpg#1,The street sign shows which directions are east and west.
2933,000000281160.jpg#2,A street sign on a corner written in another language
2934,000000281160.jpg#3,A sign post of Xing'an Road points out East and West.
2935,000000281160.jpg#4,A road sign is in the foreground with a street corner in the background.
2936,000000496045.jpg#0,A yellow and red double decker bus sitting on top of a street.
2937,000000496045.jpg#1,A double decker bus is driving around the corner of a street.
2938,000000496045.jpg#2,a red and tan double decker bus a street and a street light
2939,000000496045.jpg#3,a red and yellow double decker bus on city street
2940,000000496045.jpg#4,"A double decker bus making a turn, crossing into the other lane."
2941,000000289740.jpg#0,A man loading luggage in the back of an SUV.
2942,000000289740.jpg#1,A man is putting luggage into the back of a van.
2943,000000289740.jpg#2,A man putting luggageinto the back of a mini van.
2944,000000289740.jpg#3,"A man is kneeling on the asphalt to push a piece of luggage into the storage area of an SUV already full of luggage, while another person, of whom we can only see an arm and a side, stands by. "
2945,000000289740.jpg#4,A man keeps a suitcase from falling out of a vehicle.
2946,000000094420.jpg#0,A man waiting for oncoming traffic to pass so he can cross the street. 
2947,000000094420.jpg#1,a man standing by a street light waiting for a bus.
2948,000000094420.jpg#2,A red bus is on the street by a stop light.
2949,000000094420.jpg#3,A man waits at a crosswalk as a bus passes.
2950,000000094420.jpg#4,A bus is preparing to pick up passengers at a bus stop.
2951,000000365611.jpg#0,Multiple lane road in large city on sunny day.
2952,000000365611.jpg#1,A view up hill of a busy city street.
2953,000000365611.jpg#2,The traffick signal is showing a red light. 
2954,000000365611.jpg#3,A crosswalk on a city street with cars and buildings in the background.
2955,000000365611.jpg#4,A red traffic light and a crosswalk in an industrial city. 
2956,000000567935.jpg#0,a white clock tower with two white clocks and cars
2957,000000567935.jpg#1,"City city at night complete with a blue sky, buildings and a white tower type building."
2958,000000567935.jpg#2,A well lit clock tower next to a busy street
2959,000000567935.jpg#3,A town with a cars driving around with buildings around the road.
2960,000000567935.jpg#4,a large clock tower in a city near buildings
2961,000000263101.jpg#0,A train going down the tracks in a city. 
2962,000000263101.jpg#1,A light rail train is traveling on a track on the street.
2963,000000263101.jpg#2,A trolly is coming down the tracks next to a sidewalk with people walking.
2964,000000263101.jpg#3,A trolley train is close to houses on it's tracks.
2965,000000263101.jpg#4,"A train is passing through a residential area with houses, trees, cars and pedestrians.  "
2966,000000133999.jpg#0,A double decker bus driving down a street next to a tall building.
2967,000000133999.jpg#1,busy street with two buses and cars 
2968,000000133999.jpg#2,two public transit buses on a city street
2969,000000133999.jpg#3,A group of buses driving down a city street
2970,000000133999.jpg#4,An intersection with two buses and a car
2971,000000451594.jpg#0,A double decker city bus driving down the street
2972,000000451594.jpg#1,A double decker bus waits at a bus stop.
2973,000000451594.jpg#2,A large double decker bus driving down a city street.
2974,000000451594.jpg#3,A double decker bus parked on the street.
2975,000000451594.jpg#4,A double decker bus going down the street.
2976,000000480872.jpg#0,A city street filled with traffic driving past a tall building.
2977,000000480872.jpg#1,A row of cars riding on a street with transit buses behind them.
2978,000000480872.jpg#2,A car passing a bus on a city street
2979,000000480872.jpg#3,A small turns a corner on a street.
2980,000000480872.jpg#4,Mini smart cars making a convoy and driving through city.
2981,000000068912.jpg#0,A group of people standing around a street next to buildings.
2982,000000068912.jpg#1,A narrow paved street with pedestrians lined with two story houses.
2983,000000068912.jpg#2,some people walking down the road with one on them holding a surfboard 
2984,000000068912.jpg#3,a group of friends are walking down a small street
2985,000000068912.jpg#4,a couple of people are walking around a city  street
2986,000000408818.jpg#0,A red caboose with a man hanging off the back of it.
2987,000000408818.jpg#1,A red train at a station with people inside and a conductor standing on the front. 
2988,000000408818.jpg#2,A man stands at the back of a train coach with others seated inside
2989,000000408818.jpg#3,A group of people riding on a train.
2990,000000408818.jpg#4,A peerson standing on the end of a trolley.
2991,000000022440.jpg#0,A red bus traveling down a street next to parked cards.
2992,000000022440.jpg#1,A red passenger bus moving between parked cars in the street.
2993,000000022440.jpg#2,Red Liverpool Street bus driving down a city street.
2994,000000022440.jpg#3,A red bus is going down a city street.
